batter,match_id,venue,batting_team,opponent_team,toss_decision,season,is_chasing,runs,balls_faced,career_avg_runs,avg_vs_opponent,avg_at_venue,recent_form_5
A Ashish Reddy,598004,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,2013,1,14,12,20.412745879851144,20.412745879851144,20.412745879851144,20.412745879851144
A Ashish Reddy,598010,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,bat,2013,1,16,9,14.0,14.0,14.0,14.0
A Ashish Reddy,598013,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,bat,2013,1,4,5,15.0,15.0,15.0,15.0
A Ashish Reddy,598021,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Punjab Kings,bat,2013,1,7,7,11.333333333333334,11.333333333333334,14.0,11.333333333333334
A Ashish Reddy,598030,MA Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,bat,2013,0,36,16,10.25,10.25,10.25,10.25
A Ashish Reddy,598032,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,bat,2013,0,14,11,15.4,15.4,15.4,15.4
A Ashish Reddy,598044,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Capitals,bat,2013,1,5,7,15.166666666666666,16.0,10.5,15.4
A Ashish Reddy,598048,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,2013,0,3,4,13.714285714285714,14.0,13.714285714285714,13.2
A Ashish Reddy,829727,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,field,2015,0,13,9,12.375,14.0,12.375,13.0
A Ashish Reddy,829731,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,bat,2015,1,15,8,12.444444444444445,10.5,13.0,14.2
A Ashish Reddy,829759,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Punjab Kings,field,2015,0,22,8,12.7,7.0,12.7,10.0
A Ashish Reddy,829773,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Chennai Super Kings,field,2015,0,6,6,13.545454545454545,36.0,8.666666666666666,11.6
A Ashish Reddy,829815,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Mumbai Indians,bat,2015,0,17,15,12.916666666666666,12.916666666666666,8.0,11.8
A Ashish Reddy,980907,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,field,2016,1,32,18,13.23076923076923,8.5,3.0,14.6
A Ashish Reddy,980915,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,bat,2016,0,13,9,14.571428571428571,4.0,9.8,18.4
A Ashish Reddy,980953,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,field,2016,0,2,3,14.466666666666667,16.333333333333332,10.333333333333334,18.0
A Badoni,1304050,Wankhede Stadium,Lucknow Super Giants,Gujarat Titans,field,2022,0,54,42,20.412745879851144,20.412745879851144,20.412745879851144,20.412745879851144
A Badoni,1304053,Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,field,2022,1,19,14,54.0,54.0,54.0,54.0
A Badoni,1304058,Dr. DY Patil Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,field,2022,0,19,13,36.5,36.5,36.5,36.5
A Badoni,1304061,Dr. DY Patil Cricket Stadium,Lucknow Super Giants,Delhi Capitals,field,2022,1,10,3,30.666666666666668,30.666666666666668,19.0,30.666666666666668
A Badoni,1304066,Wankhede Stadium,Lucknow Super Giants,Rajasthan Royals,field,2022,1,5,7,25.5,25.5,54.0,25.5
A Badoni,1304077,Dr. DY Patil Cricket Stadium,Lucknow Super Giants,Royal Challengers Bengaluru,field,2022,1,13,13,21.4,21.4,14.5,21.4
A Badoni,1304083,Wankhede Stadium,Lucknow Super Giants,Mumbai Indians,field,2022,0,14,11,20.0,20.0,29.5,13.2
A Badoni,1304088,Maharashtra Cricket Association Stadium,Lucknow Super Giants,Punjab Kings,field,2022,0,4,4,19.142857142857142,19.142857142857142,19.142857142857142,12.2
A Badoni,1304099,Maharashtra Cricket Association Stadium,Lucknow Super Giants,Kolkata Knight Riders,field,2022,0,15,19,17.25,17.25,4.0,9.2
