bowler,match_id,venue,bowling_team,opponent_team,toss_decision,season,is_chasing,balls_bowled,runs_conceded,wickets,overs,career_avg_wkts,avg_vs_opponent,avg_at_venue,recent_form_5
A Ashish Reddy,598004,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,2013,0,6,7,1,1.0,0.9250769757098871,0.9250769757098871,0.9250769757098871,0.9250769757098871
A Ashish Reddy,598013,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,bat,2013,0,12,15,1,2.0,1.0,1.0,1.0,1.0
A Ashish Reddy,598030,MA Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,bat,2013,1,5,15,0,0.8333333333333334,1.0,1.0,1.0,1.0
A Ashish Reddy,598048,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,2013,1,6,13,0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
A Ashish Reddy,829719,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,field,2015,0,6,11,1,1.0,0.5,0.5,0.0,0.5
A Ashish Reddy,829727,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,field,2015,1,6,5,0,1.0,0.6,0.6,0.6,0.6
A Ashish Reddy,829731,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,bat,2015,0,13,16,1,2.1666666666666665,0.5,0.5,0.0,0.4
A Ashish Reddy,829773,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Chennai Super Kings,field,2015,1,12,19,1,2.0,0.5714285714285714,0.0,1.0,0.4
A Ashish Reddy,980907,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,field,2016,0,11,26,0,1.8333333333333333,0.625,0.6666666666666666,0.5,0.6
A Ashish Reddy,980915,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,bat,2016,1,12,14,1,2.0,0.5555555555555556,1.0,1.0,0.6
A Badoni,1304083,Wankhede Stadium,Lucknow Super Giants,Mumbai Indians,field,2022,1,6,6,1,1.0,0.9250769757098871,0.9250769757098871,0.9250769757098871,0.9250769757098871
A Badoni,1304109,Brabourne Stadium,Lucknow Super Giants,Rajasthan Royals,bat,2022,0,6,6,1,1.0,1.0,1.0,1.0,1.0
A Badoni,1359512,Punjab Cricket Association Stadium,Lucknow Super Giants,Punjab Kings,field,2023,1,1,0,0,0.16666666666666666,1.0,1.0,1.0,1.0
A Badoni,1422122,Sawai Mansingh Stadium,Lucknow Super Giants,Rajasthan Royals,bat,2024,0,6,6,0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
A Badoni,1426295,Rajiv Gandhi International Stadium,Lucknow Super Giants,Sunrisers Hyderabad,bat,2024,1,6,19,0,1.0,0.5,0.5,0.5,0.5
A Badoni,1473502,Narendra Modi Cricket Stadium,Lucknow Super Giants,Gujarat Titans,field,2025,1,6,4,2,1.0,0.4,0.4,0.4,0.4
A Badoni,1473507,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Royal Challengers Bengaluru,field,2025,1,4,9,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6
A Badoni,1529272,Maharaja Yadavindra Singh International Cricket Stadium,Lucknow Super Giants,Punjab Kings,field,2026,0,6,14,0,1.0,0.5714285714285714,0.0,0.5714285714285714,0.4
A Chandila,548336,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bengaluru,field,2012,0,24,29,0,4.0,0.9250769757098871,0.9250769757098871,0.9250769757098871,0.9250769757098871
A Chandila,548377,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,bat,2012,1,12,24,0,2.0,0.0,0.0,0.0,0.0
A Chandila,598014,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,field,2013,0,18,14,0,3.0,0.0,0.0,0.0,0.0
A Chandila,598019,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,bat,2013,1,12,8,2,2.0,0.0,0.0,0.0,0.0
A Chandila,598023,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bengaluru,field,2013,1,24,21,0,4.0,0.5,0.0,0.5,0.5
A Chandila,598026,MA Chidambaram Stadium,Rajasthan Royals,Chennai Super Kings,bat,2013,1,18,16,1,3.0,0.4,0.4,0.4,0.4
A Chandila,598032,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,bat,2013,0,18,13,2,3.0,0.5,0.5,0.5,0.6
A Chandila,598036,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bengaluru,field,2013,0,24,39,0,4.0,0.7142857142857143,0.0,0.8,1.0
A Chandila,598052,Punjab Cricket Association Stadium,Rajasthan Royals,Punjab Kings,field,2013,0,24,24,1,4.0,0.625,0.0,0.625,1.0
